,date,bundesland,trend,new_detections
0,2020-04-21,all,162.0079,141
1,2020-04-22,all,158.9972,155
2,2020-04-23,all,155.9444,158
3,2020-04-24,all,152.7997,143
4,2020-04-25,all,149.517,143
5,2020-04-26,all,146.0309,154
6,2020-04-27,all,142.2628,157
7,2020-04-28,all,138.1502,161
8,2020-04-29,all,133.6599,145
9,2020-04-30,all,128.8046,142
10,2020-05-01,all,123.6194,137
11,2020-05-02,all,118.166,121
12,2020-05-03,all,112.5329,112
13,2020-05-04,all,106.814,111
14,2020-05-05,all,101.1026,93
15,2020-05-06,all,95.4998,89
16,2020-05-07,all,90.0909,85
17,2020-05-08,all,84.9481,72
18,2020-05-09,all,80.1333,64
19,2020-05-10,all,75.6828,68
20,2020-05-11,all,71.6002,73
21,2020-05-12,all,67.8742,71
22,2020-05-13,all,64.4959,71
23,2020-05-14,all,61.4629,68
24,2020-05-15,all,58.7857,56
25,2020-05-16,all,56.4879,54
26,2020-05-17,all,54.5876,48
27,2020-05-18,all,53.0978,39
28,2020-05-19,all,52.0184,38
29,2020-05-20,all,51.321,43
30,2020-05-21,all,50.9494,46
31,2020-05-22,all,50.8305,47
32,2020-05-23,all,50.8815,54
33,2020-05-24,all,51.0117,58
34,2020-05-25,all,51.137,70
35,2020-05-26,all,51.1868,70
36,2020-05-27,all,51.1287,68
37,2020-05-28,all,50.9677,56
38,2020-05-29,all,50.7424,53
39,2020-05-30,all,50.5018,43
40,2020-05-31,all,50.2991,42
41,2020-06-01,all,50.1727,44
42,2020-06-02,all,50.1444,42
43,2020-06-03,all,50.2234,42
44,2020-06-04,all,50.403,45
45,2020-06-05,all,50.6597,47
46,2020-06-06,all,50.9595,55
47,2020-06-07,all,51.2608,55
48,2020-06-08,all,51.5303,59
49,2020-06-09,all,51.742,59
50,2020-06-10,all,51.8849,58
51,2020-06-11,all,51.9627,62
52,2020-06-12,all,51.9911,47
53,2020-06-13,all,52.0059,50
54,2020-06-14,all,52.033,52
55,2020-06-15,all,52.0942,46
56,2020-06-16,all,52.2114,53
57,2020-06-17,all,52.3942,59
58,2020-06-18,all,52.6536,49
59,2020-06-19,all,53.0142,55
60,2020-06-20,all,53.4929,52
61,2020-06-21,all,54.1109,53
62,2020-06-22,all,54.8862,60
63,2020-06-23,all,55.8347,50
64,2020-06-24,all,56.9823,49
65,2020-06-25,all,58.3437,57
66,2020-06-26,all,59.917,55
67,2020-06-27,all,61.6982,57
68,2020-06-28,all,63.6732,63
69,2020-06-29,all,65.8184,71
70,2020-06-30,all,68.109,65
71,2020-07-01,all,70.5306,67
72,2020-07-02,all,73.0625,75
73,2020-07-03,all,75.677,68
74,2020-07-04,all,78.3501,75
75,2020-07-05,all,81.0427,79
76,2020-07-06,all,83.7089,79
77,2020-07-07,all,86.2986,82
78,2020-07-08,all,88.7524,82
79,2020-07-09,all,91.0022,92
80,2020-07-10,all,92.9667,113
81,2020-07-11,all,94.5662,127
82,2020-07-12,all,95.7613,120
83,2020-07-13,all,96.5773,109
84,2020-07-14,all,97.0882,101
85,2020-07-15,all,97.3927,92
86,2020-07-16,all,97.5973,88
87,2020-07-17,all,97.7978,88
88,2020-07-18,all,98.0708,94
89,2020-07-19,all,98.4733,89
90,2020-07-20,all,99.054,94
91,2020-07-21,all,99.8429,86
92,2020-07-22,all,100.8597,78
93,2020-07-23,all,102.0966,101
94,2020-07-24,all,103.4998,111
95,2020-07-25,all,105.0137,112
96,2020-07-26,all,106.5973,121
97,2020-07-27,all,108.2239,105
98,2020-07-28,all,109.8953,102
99,2020-07-29,all,111.6071,109
100,2020-07-30,all,113.3391,114
101,2020-07-31,all,115.0656,131
102,2020-08-01,all,116.7626,124
103,2020-08-02,all,118.4378,116
104,2020-08-03,all,120.1132,117
105,2020-08-04,all,121.8063,114
106,2020-08-05,all,123.528,105
107,2020-08-06,all,125.2739,112
108,2020-08-07,all,127.0023,132
109,2020-08-08,all,128.6451,130
110,2020-08-09,all,130.1441,142
111,2020-08-10,all,131.4439,147
112,2020-08-11,all,132.5128,138
113,2020-08-12,all,133.3501,141
114,2020-08-13,all,133.9662,135
115,2020-08-14,all,134.3868,132
116,2020-08-15,all,134.6396,126
117,2020-08-16,all,134.7475,140
118,2020-08-17,all,134.7162,139
119,2020-08-18,all,134.5618,131
120,2020-08-19,all,134.3092,128
121,2020-08-20,all,133.9759,124
122,2020-08-21,all,133.567,137
123,2020-08-22,all,133.0674,137
124,2020-08-23,all,132.4692,143
125,2020-08-24,all,131.772,134
126,2020-08-25,all,130.9968,126
127,2020-08-26,all,130.1688,127
128,2020-08-27,all,129.3033,128
129,2020-08-28,all,128.4094,136
130,2020-08-29,all,127.4933,128
131,2020-08-30,all,126.5765,126
132,2020-08-31,all,125.6818,131
133,2020-09-01,all,124.8304,126
134,2020-09-02,all,124.0544,121
135,2020-09-03,all,123.3882,120
136,2020-09-04,all,122.86,127
137,2020-09-05,all,122.4914,130
138,2020-09-06,all,122.312,133
139,2020-09-07,all,122.3668,141
140,2020-09-08,all,122.7218,140
141,2020-09-09,all,123.4805,131
142,2020-09-10,all,124.7809,127
143,2020-09-11,all,126.7761,124
144,2020-09-12,all,129.6233,125
145,2020-09-13,all,133.4747,133
146,2020-09-14,all,138.4729,125
147,2020-09-15,all,144.7595,130
148,2020-09-16,all,152.4494,120
149,2020-09-17,all,161.6277,129
150,2020-09-18,all,172.315,142
151,2020-09-19,all,184.4661,146
152,2020-09-20,all,197.9757,169
153,2020-09-21,all,212.6613,209
154,2020-09-22,all,228.2824,244
155,2020-09-23,all,244.5913,256
156,2020-09-24,all,261.3717,270
157,2020-09-25,all,278.4301,286
158,2020-09-26,all,295.5903,276
159,2020-09-27,all,312.6912,291
160,2020-09-28,all,329.5325,375
161,2020-09-29,all,345.8706,401
162,2020-09-30,all,361.5528,404
163,2020-10-01,all,376.5366,421
164,2020-10-02,all,390.8644,394
165,2020-10-03,all,404.6676,348
166,2020-10-04,all,418.0839,357
167,2020-10-05,all,431.1374,448
168,2020-10-06,all,443.7305,484
169,2020-10-07,all,455.7989,493
170,2020-10-08,all,467.3589,496
171,2020-10-09,all,478.5016,497
172,2020-10-10,all,489.3748,439
173,2020-10-11,all,500.1636,458
174,2020-04-21,Baden-Württemberg,23.5883,22
175,2020-04-22,Baden-Württemberg,22.507,21
176,2020-04-23,Baden-Württemberg,21.4225,22
177,2020-04-24,Baden-Württemberg,20.3287,20
178,2020-04-25,Baden-Württemberg,19.2204,22
179,2020-04-26,Baden-Württemberg,18.0921,23
180,2020-04-27,Baden-Württemberg,16.9435,21
181,2020-04-28,Baden-Württemberg,15.7843,20
182,2020-04-29,Baden-Württemberg,14.6325,14
183,2020-04-30,Baden-Württemberg,13.5141,9
184,2020-05-01,Baden-Württemberg,12.4541,9
185,2020-05-02,Baden-Württemberg,11.4685,8
186,2020-05-03,Baden-Württemberg,10.5663,8
187,2020-05-04,Baden-Württemberg,9.7496,9
188,2020-05-05,Baden-Württemberg,9.0153,10
189,2020-05-06,Baden-Württemberg,8.3589,8
190,2020-05-07,Baden-Württemberg,7.7778,9
191,2020-05-08,Baden-Württemberg,7.2688,7
192,2020-05-09,Baden-Württemberg,6.8309,6
193,2020-05-10,Baden-Württemberg,6.4629,4
194,2020-05-11,Baden-Württemberg,6.1616,6
195,2020-05-12,Baden-Württemberg,5.919,6
196,2020-05-13,Baden-Württemberg,5.727,6
197,2020-05-14,Baden-Württemberg,5.5773,7
198,2020-05-15,Baden-Württemberg,5.4624,5
199,2020-05-16,Baden-Württemberg,5.3775,7
200,2020-05-17,Baden-Württemberg,5.3169,6
201,2020-05-18,Baden-Württemberg,5.2783,4
202,2020-05-19,Baden-Württemberg,5.2606,4
203,2020-05-20,Baden-Württemberg,5.2601,6
204,2020-05-21,Baden-Württemberg,5.2708,6
205,2020-05-22,Baden-Württemberg,5.2879,6
206,2020-05-23,Baden-Württemberg,5.3083,6
207,2020-05-24,Baden-Württemberg,5.3302,5
208,2020-05-25,Baden-Württemberg,5.3533,8
209,2020-05-26,Baden-Württemberg,5.3764,7
210,2020-05-27,Baden-Württemberg,5.4038,5
211,2020-05-28,Baden-Württemberg,5.443,4
212,2020-05-29,Baden-Württemberg,5.5008,5
213,2020-05-30,Baden-Württemberg,5.5808,6
214,2020-05-31,Baden-Württemberg,5.686,4
215,2020-06-01,Baden-Württemberg,5.8198,4
216,2020-06-02,Baden-Württemberg,5.9827,4
217,2020-06-03,Baden-Württemberg,6.1711,3
218,2020-06-04,Baden-Württemberg,6.3779,5
219,2020-06-05,Baden-Württemberg,6.5892,6
220,2020-06-06,Baden-Württemberg,6.7887,8
221,2020-06-07,Baden-Württemberg,6.9587,7
222,2020-06-08,Baden-Württemberg,7.0841,8
223,2020-06-09,Baden-Württemberg,7.1497,9
224,2020-06-10,Baden-Württemberg,7.1422,10
225,2020-06-11,Baden-Württemberg,7.0522,12
226,2020-06-12,Baden-Württemberg,6.8756,10
227,2020-06-13,Baden-Württemberg,6.6185,10
