num_detections,num_users,date_updated,stateid,state_de,state_en
4,135140,2021-09-17,,Deutschland gesamt,Germany total
0,139014,2021-09-17,,Deutschland gesamt,Germany total
0,141225,2021-09-17,,Deutschland gesamt,Germany total
0,143201,2021-09-17,,Deutschland gesamt,Germany total
0,144403,2021-09-17,,Deutschland gesamt,Germany total
0,145256,2021-09-17,,Deutschland gesamt,Germany total
0,145983,2021-09-17,,Deutschland gesamt,Germany total
0,146524,2021-09-17,,Deutschland gesamt,Germany total
0,146924,2021-09-17,,Deutschland gesamt,Germany total
0,146816,2021-09-17,,Deutschland gesamt,Germany total
1,147672,2021-09-17,,Deutschland gesamt,Germany total
1,148006,2021-09-17,,Deutschland gesamt,Germany total
3,148182,2021-09-17,,Deutschland gesamt,Germany total
1,149451,2021-09-17,,Deutschland gesamt,Germany total
1,149997,2021-09-17,,Deutschland gesamt,Germany total
0,150610,2021-09-17,,Deutschland gesamt,Germany total
3,151108,2021-09-17,,Deutschland gesamt,Germany total
0,151713,2021-09-17,,Deutschland gesamt,Germany total
2,152193,2021-09-17,,Deutschland gesamt,Germany total
1,152413,2021-09-17,,Deutschland gesamt,Germany total
0,153011,2021-09-17,,Deutschland gesamt,Germany total
0,153393,2021-09-17,,Deutschland gesamt,Germany total
0,153517,2021-09-17,,Deutschland gesamt,Germany total
0,153636,2021-09-17,,Deutschland gesamt,Germany total
0,153540,2021-09-17,,Deutschland gesamt,Germany total
0,153492,2021-09-17,,Deutschland gesamt,Germany total
0,153569,2021-09-17,,Deutschland gesamt,Germany total
1,153718,2021-09-17,,Deutschland gesamt,Germany total
1,154171,2021-09-17,,Deutschland gesamt,Germany total
0,154645,2021-09-17,,Deutschland gesamt,Germany total
0,155069,2021-09-17,,Deutschland gesamt,Germany total
0,155252,2021-09-17,,Deutschland gesamt,Germany total
1,155684,2021-09-17,,Deutschland gesamt,Germany total
0,155919,2021-09-17,,Deutschland gesamt,Germany total
0,155861,2021-09-17,,Deutschland gesamt,Germany total
0,155848,2021-09-17,,Deutschland gesamt,Germany total
0,155939,2021-09-17,,Deutschland gesamt,Germany total
0,156005,2021-09-17,,Deutschland gesamt,Germany total
0,156013,2021-09-17,,Deutschland gesamt,Germany total
0,156035,2021-09-17,,Deutschland gesamt,Germany total
0,156112,2021-09-17,,Deutschland gesamt,Germany total
0,156150,2021-09-17,,Deutschland gesamt,Germany total
0,156265,2021-09-17,,Deutschland gesamt,Germany total
2,156490,2021-09-17,,Deutschland gesamt,Germany total
1,156732,2021-09-17,,Deutschland gesamt,Germany total
0,156769,2021-09-17,,Deutschland gesamt,Germany total
0,156752,2021-09-17,,Deutschland gesamt,Germany total
0,156842,2021-09-17,,Deutschland gesamt,Germany total
0,156767,2021-09-17,,Deutschland gesamt,Germany total
4,156759,2021-09-17,,Deutschland gesamt,Germany total
4,156942,2021-09-17,,Deutschland gesamt,Germany total
1,157066,2021-09-17,,Deutschland gesamt,Germany total
1,157167,2021-09-17,,Deutschland gesamt,Germany total
1,157315,2021-09-17,,Deutschland gesamt,Germany total
0,157503,2021-09-17,,Deutschland gesamt,Germany total
2,157589,2021-09-17,,Deutschland gesamt,Germany total
4,157642,2021-09-17,,Deutschland gesamt,Germany total
3,157890,2021-09-17,,Deutschland gesamt,Germany total
3,158046,2021-09-17,,Deutschland gesamt,Germany total
6,158210,2021-09-17,,Deutschland gesamt,Germany total
5,158572,2021-09-17,,Deutschland gesamt,Germany total
4,159858,2021-09-17,,Deutschland gesamt,Germany total
6,160036,2021-09-17,,Deutschland gesamt,Germany total
4,160169,2021-09-17,,Deutschland gesamt,Germany total
3,160363,2021-09-17,,Deutschland gesamt,Germany total
3,160518,2021-09-17,,Deutschland gesamt,Germany total
1,160603,2021-09-17,,Deutschland gesamt,Germany total
0,160646,2021-09-17,,Deutschland gesamt,Germany total
0,160660,2021-09-17,,Deutschland gesamt,Germany total
0,160591,2021-09-17,,Deutschland gesamt,Germany total
7,160563,2021-09-17,,Deutschland gesamt,Germany total
6,160650,2021-09-17,,Deutschland gesamt,Germany total
6,160788,2021-09-17,,Deutschland gesamt,Germany total
5,160766,2021-09-17,,Deutschland gesamt,Germany total
1,160708,2021-09-17,,Deutschland gesamt,Germany total
5,160667,2021-09-17,,Deutschland gesamt,Germany total
5,160301,2021-09-17,,Deutschland gesamt,Germany total
6,160279,2021-09-17,,Deutschland gesamt,Germany total
2,160270,2021-09-17,,Deutschland gesamt,Germany total
4,159915,2021-09-17,,Deutschland gesamt,Germany total
0,159979,2021-09-17,,Deutschland gesamt,Germany total
3,160014,2021-09-17,,Deutschland gesamt,Germany total
3,159997,2021-09-17,,Deutschland gesamt,Germany total
2,159979,2021-09-17,,Deutschland gesamt,Germany total
5,159967,2021-09-17,,Deutschland gesamt,Germany total
5,160701,2021-09-17,,Deutschland gesamt,Germany total
4,160962,2021-09-17,,Deutschland gesamt,Germany total
1,160958,2021-09-17,,Deutschland gesamt,Germany total
