date_computed,date,stateid,state_de,state_en,num_users,num_detections,num_trend,detection_rate,detection_rate_trend
2020-10-28,2020-04-21,,Deutschland gesamt,Germany total,71089,132,140.7745,0.001856827357256397,0.001980257142455232
2020-10-28,2020-04-22,,Deutschland gesamt,Germany total,71089,134,138.9775,0.0018849611050936151,0.0019549789700234917
2020-10-28,2020-04-23,,Deutschland gesamt,Germany total,71089,133,137.163,0.001870894231175006,0.0019294546272981756
2020-10-28,2020-04-24,,Deutschland gesamt,Germany total,71089,123,135.3034,0.0017302254919889153,0.0019032958685591302
2020-10-28,2020-04-25,,Deutschland gesamt,Germany total,71089,122,133.3629,0.0017161586180703063,0.0018759990997200692
2020-10-28,2020-04-26,,Deutschland gesamt,Germany total,71089,133,131.2811,0.001870894231175006,0.001846714681596309
2020-10-28,2020-04-27,,Deutschland gesamt,Germany total,71089,142,128.9748,0.0019974960964424878,0.0018142722502778206
2020-10-28,2020-04-28,,Deutschland gesamt,Germany total,71089,144,126.3643,0.0020256298442797058,0.0017775506759132918
2020-10-28,2020-04-29,,Deutschland gesamt,Germany total,71089,131,123.3959,0.001842760483337788,0.0017357945673732926
2020-10-28,2020-04-30,,Deutschland gesamt,Germany total,71089,134,120.0513,0.0018849611050936151,0.0016887465008651127
2020-10-28,2020-05-01,,Deutschland gesamt,Germany total,71089,133,116.3271,0.001870894231175006,0.0016363586490174289
2020-10-28,2020-05-02,,Deutschland gesamt,Germany total,71089,120,112.2482,0.001688024870233088,0.0015789812769908143
2020-10-28,2020-05-03,,Deutschland gesamt,Germany total,71089,107,107.8726,0.0015051555092911702,0.0015174302634725486
2020-10-28,2020-05-04,,Deutschland gesamt,Germany total,71089,113,103.2738,0.0015895567528028246,0.0014527395236956491
2020-10-28,2020-05-05,,Deutschland gesamt,Germany total,71089,96,98.5236,0.0013504198961864706,0.0013859190592074723
2020-10-28,2020-05-06,,Deutschland gesamt,Germany total,71089,94,93.7133,0.0013222861483492524,0.0013182531755967872
